'Name of school','URL','Street','Address','ZIP-Code','City','Region','Country','Country-Code','Latitude','Longitude'
'Waldorf-Kindergruppe Wein-Atzgersdorf','www.waldorfkindergruppe.at','Schembergasse 13','Vienna,  1230',1230,'Vienna','Vienna','Austria','AT','48.1484','16.28465'
'Waldorfbund Österreich','www.waldorf.at','Endresstraße 100','Vienna,  1230',1230,'Vienna','Vienna','Austria','AT','48.15061','16.26953'
'Waldorfkindergarten Bad Vöslau','www.waldorf-badvoeslau.at','Bahngasse 1-3','Bad Vöslau,  2540',2540,'Bad Vöslau','Lower Austria','Austria','AT','47.96738','16.21416'
'Waldorfkindergarten Bregenz','www.waldorf-bregenz.at','Thalbachbergstraße 5','Bregenz,  6900',6900,'Bregenz','Vorarlberg','Austria','AT','47.49734','9.75301'
'Waldorfkindergarten der Freien Waldorfschule Graz','www.waldorfkindergarten-graz.at','St. Peter Hauptstraße. 182','Graz,  8042',8042,'Graz','Styria','Austria','AT','47.0472899','15.48362'
'Waldorfkindergarten der Freien Waldorfschule Wien-West','www.waldorf-wein-west.at','Seuttergasse 29','Vienna,  1130',1130,'Vienna','Vienna','Austria','AT','48.19588',16256
'Waldorfkindergarten der Rudolf Steiner Landschule Schönau','www.waldorf-schoenau.at','Kirchengasse 14-22','Schönau,  2525',2525,'Schönau an der Triesting','Lower Austria','Austria','AT','47.9387','16.25238'
'Waldorfkindergarten der Rudolf Steiner Schule Salzburg','www.waldorf-salzburg.info','Waldorfstraße 7','Salzburg,  5023',5023,'Salzburg','Salzburg','Austria','AT','47.82989','13.08071'
'Waldorfkindergarten der Waldorfschule Karl Schubert Graz','www.kss-graz.at','Riesstraße 351','Graz,  8010',8010,'Graz','Styria','Austria','AT','47.08297','15.47711'
'Waldorfkindergarten Graz','www.waldorfkindergarten-graz.at','Mandellstraße 39','Graz,  8010',8010,'Graz','Styria','Austria','AT','47.0665','15.45217'
'Waldorfkindergarten Graz','www.waldorfkindergarten-graz.at','Stiftingtalstraße 79','Graz,  8010',8010,'Graz','Styria','Austria','AT','47.08641','15.47301'
'Waldorfkindergarten im Zentrum Wiens','www.waldorfkindergarten1040.at','Tilgnerstraße 3','Vienna,  1040',1040,'Vienna','Vienna','Austria','AT','48.19365','16.3698'
'Waldorfkindergarten Klagenfurt','www.waldorfkindergarten-klagenfurt.at','Linsengasse 21','Klagenfurt,  9020',9020,'Klagenfurt','Carinthia','Austria','AT','46.6235799','14.29747'
'Waldorfkindergarten Klagenfurt-Viktring','www.waldorfkindergarten-klagenfurt.at','Karl-Truppe-straße 18','Viktring,  9073',9073,'Klagenfurt','Carinthia','Austria','AT','46.5942','14.26793'
'Waldorfkindergarten Kufstein','www.waldorf-kufstein.at','Stuttgarterstraße  21','Kufstein,  6330',6330,'Kufstein','Tyrol','Austria','AT','47.5901799','12.17839'
'Waldorfkindergarten Linz-Nord','www. fwkl.at','Hölderlinstraße  23','Linz,  4040',4040,'Linz','Upper Austria','Austria','AT','48.3216899','14.27811'
'Waldorfkindergarten Linz-Süd','www.sued.fwkl.at','Gutenbergstraße  3','Linz,  4030',4030,'Linz','Upper Austria','Austria','AT','48.2605','14.31865'
'Waldorfkindergarten Mödling','www.waldorf-moedling.at','Parkstraße 23','Mödling,  2340',2340,'Mödling','Lower Austria','Austria','AT','48.08657','16.28164'
'Waldorfkindergarten Pannonia','www.waldorf-pannonia.org','Obere Wiesen 11','Neusiedl am See,  7100',7100,'Neusiedl am See','Burgenland','Austria','AT','47.95201','16.82141'
'Waldorfkindergarten Schwaz','www.waldorf-schwaz.com','Bahnhofstraße 4','Schwaz,  6130',6130,'Schwaz','Tyrol','Austria','AT','47.34874','11.70393'
'Waldorfkindergarten Steyr-Fabrikinsel','www.waldorfkiga-steyr-fabrikinsel-steyr.at','Fabrikinsel 1','Steyr,  4400',4400,'Steyr','Upper Austria','Austria','AT','48.0412899','14.41287'
'Waldorfkindergarten und Spielgruppe Rheintal','www.waldorfkindergarten-rheintal.eu','Kiesweg 5','Koblach,  6842',6842,'Koblach','Vorarlberg','Austria','AT','47.31749','9.59862'
'Waldorfkindergarten Verein für lebendige und individuelle Pädagogik','www.vlip-mattsee.com','Fisching 6','Mattsee,  5163',5163,'Mattsee','Salzburg','Austria','AT','47.97314','13.09889'
'Waldorfkindergarten Villach','www.waldorf-villach.at','Mühlenweg 29','Villach,  9500',9500,'Villach','Carinthia','Austria','AT','46.62227','13.8291'
'Waldorfkindergarten Villach-Landskron','www.waldorf-villach.at','Schillerstraße 2a','Villach Landskron,  9523',9523,'Villach','Carinthia','Austria','AT','46.62948','13.87796'
'Waldorfkindergarten Wels','www.waldorfkindergarten-wels.at','Maximilianstraße 25','Wels,  4600',4600,'Wels','Upper Austria','Austria','AT','48.16404','14.02964'
'Waldorfkindergarten Wien Ost',,'Wagramer Straße 97-103/Stiege 4/Tür 3','Vienna,  1220',1220,'Vienna','Vienna','Austria','AT','48.24569','16.43776'
'Waldorfkindergarten Wien-Mauer','www.waldorfkindergarten-mauer.at','Marktgemeindegasse 42','Vienna,  1230',1230,'Vienna','Vienna','Austria','AT','48.15607','16.28001'
'Waldorfkindergarten Wien-Mauer','www.waldorfkindergarten-mauer.at','Endresstraße 113','Vienna,  1230',1230,'Vienna','Vienna','Austria','AT','48.15035','16.26989'
'Waldorfkindergarten Wien-Pötzleinsdorf','www.waldorfschule-poetzleinsdorf.at','Geymüllergasse 1','Vienna,  1180',1180,'Vienna','Vienna','Austria','AT','48.24292',16306
'Waldorfkindergarten Wurzerhof','www.wurzerhof.com','Scheifling 7','St. Veit an der Glan,  9300',9300,'Sankt Georgen am Längsee','Carinthia','Austria','AT','46.77782','14.39379'
'Waldorfkindergarten-Salzburg- Aigen','www.waldorf-salzburg.info','Aignerstraße 7','Salzburg,  5020',5020,'Salzburg','Salzburg','Austria','AT','47.79894','13.06554'
'Waldorfkindergarten-Seminar',,'Marktgemeindegasse 42','Vienna,  1230',1230,'Vienna','Vienna','Austria','AT','48.15607','16.28001'
'Armidale Waldorf School','www.waldorf.nsw.edu.au','P. O. Box 996','Armidale, New South Wales 2350',,'Armidale','NSW','Australia','AU','-30.5161800384521','151.668243408203'
'Australian Association for Rudolf Steiner Early Childhood Education Inc.','www.steinerearlychildhood.com','PO Box 3602','Tuggerah, New South Wales 2259',,'Tuggerah','NSW','Australia','AU','-33.3054313659668','151.420227050781'
'Ballarat Steiner School, Kindergarten and Playgroup','www.ballaratsteinerschool.com.au','244 Moss Avenue','Buninyong, Victoria 3357',3350,'Ballarat','VIC','Australia','AU','-37.64076','143.8622'
'Blue Mountains Steiner School Kindergarten','www.bluemountainsteiner.nsw.edu.au','83 Clearview Parade','Hazelbrook, New South Wales 2779',2779,'Hazelbrook','NSW','Australia','AU','-33.72182','150.46865'
'Cape Byron Rudolf Steiner','www.capebyronsteiner.nsw.edu.au','P.O.Box 736','Byron Bay, New South Wales 2481',,'Byron Bay','NSW','Australia','AU','-28.6469402313232','153.612762451172'
'Castlemaine Steiner School Kindergarten','www.castlemainesteienrschool.com.au','P.O. Box 473','Castlemaine, Victoria 3450',3450,'Castlemaine','VIC','Australia','AU','-37.0595207214355','144.223861694336'
'Casuarina Steiner School and Preschool','www.casuarina.nsw.edu.au','4 Gentle Street','Coffs Harbour, New South Wales 2450',2450,'Coffs Harbour','NSW','Australia','AU','-30.29214','153.13154'
'Central Coast Rudolf Steiner School','www.ccrss.nsw.edu.au','Locked Bag 905','Ourimbah, New South Wales 2258',2258,'Ourimbah','NSW','Australia','AU','-33.3157691955566','151.350006103516'
'Glenaeon Steiner School',,'117 Edinburgh Rd.','Castlecrag, New South Wales 2068',2068,'Sydney','NSW','Australia','AU','-33.80212','151.2149'
'Golden Hill Steiner School','www.goldenhill.wa.edu.au','222 Scotsdale Rd.','Denmark, Western Australia 6333',6333,'Denmark','WA','Australia','AU','-34.95415','117.35923'
'Goora Gan Steiner School','www.gooragansteiner.qld. edu.au','71 Spring Road','Agnes Water, Queensland 4677',4677,'Agnes Water','QLD','Australia','AU','-24.21161','151.91016'
'Kamaroi Rudolf Steiner School','www.kamaroi.nsw.edu.au','220 Forest Way','Belrose, New South Wales 2085',2085,'Sydney','NSW','Australia','AU','-33.71137','151.21582'
'Leaning Tree Steiner School','www.leaningtree.wa.edu.au','15 Bayly Street','Geraldton, Western Australia 6531',6530,'Geraldton','WA','Australia','AU','-28.7674','114.61974'
'Little Sophia Inc','www.littlesophiakindergarten.org.au','35-37 Abbotsford St','Abbotsford, Victoria 3067',3067,'Melbourne','VIC','Australia','AU','-37.80204','144.99977'
'Little Yarra Steiner School','www.lyss.vic.edu.au','205 Little Yarra Rd.','Yarra Junction, Victoria 3797',3797,'Yarra Junction','VIC','Australia','AU','-37.79368','145.63086'
'Mansfield Steiner School','www.mansfieldsteiner.vic.edu.au','91 Highlett Street','Mansfield, Victoria 3722',3722,'Mansfield','VIC','Australia','AU','-37.0608','146.08355'
'Melbourne Rudolf Steiner School','www.mrss.com.au','213 Wonga Road','Warranwood, Victoria 3134',3134,'Melbourne','VIC','Australia','AU','-37.77719','145.24947'
'Milkwood Steiner School and Kindergarten','www.milkwood.nt.edu.au','P.O. Box 737','Nightcliff, Northern Territory 814',,'Darwin','NT','Australia','AU','-12.382399559021','130.84831237793'
'Mount Barker Waldorf School Kindergarten','www.mtbarkerwaldorf.sa.edu.au','Sims Road','Mount Barker, South Australia 5251',5251,'Mount Barker','SA','Australia','AU','-35.08446','138.88101'
'Mumbulla School','www.mumbullaschool.com.au','P.O. Box 790','Bega, New South Wales 2550',,'Bega','NSW','Australia','AU','-36.6738395690918','149.84016418457'
'Orana Steiner School and Kindergartens','www.oranaschool.com','P. O. Box 3567','Weston, Australian Capital Territory 2611',2611,'Canberra','ACT','Australia','AU','-35.3426628112793','148.794570922852'
'Perth Waldorf School','www.pws.wa.edu.au','PO Box 1247','Bibra Lake, Western Australia 6965',,'Perth','WA','Australia','AU','-32.093433380127','115.825073242188'
'Rainbow Ridge School for Rudolf Steiner Education','www.rainbowridge.nsw.edu.au','279 Lillian Rock Road','Lillian Rock, New South Wales 2480',2480,'Lillian Rock','NSW','Australia','AU','-28.53749','153.16683'
'Samford Valley Steiner School and Preschool','www.samfordsteiner.qld.edu.au','Narrawa Drive','Wights Mountain, Queensland 4520',4520,'Brisbane','QLD','Australia','AU','-27.3916','152.85852'
'St. Kilda Steiner Pre School',,'435 Inkerman St','St. Kilda east, Victoria 3183',3183,'Melbourne','VIC','Australia','AU','-37.86754','145.0036'
'Sydney Rudolf Steiner College','www.sydneyrudolfsteinercollege.com','307 Sussex Street','Sydney, New South Wales 2000',2000,'Sydney','NSW','Australia','AU','-33.87475','151.20412'
'Taraleigh Steiner Preschool',,'Bignall Road','East Bentleigh, Victoria 3165',3165,'Melbourne','VIC','Australia','AU','-37.93001','145.07011'
'Tarremah School for R.S Ed.','www.tarremah.tas.edu.au','P.O. Box 494','Kingston, Tasmania 7051',,'Kingston','TAS','Australia','AU','-42.9755783081055','147.309432983398'
'West Coast Steiner School','www.wcss.wa.edu.au','15 Mayfair Str.','Nollamara, Western Australia 6061',6061,'Perth','WA','Australia','AU','-31.88348','115.83986'
'Wild Cherry Kindergarten','www.wildcherry.vic.edu.au','72 Lucknow St','Bairnsdale, Victoria 3875',3875,'Bairnsdale','VIC','Australia','AU','-37.82698','147.65479'
'Willunga Waldorf School','www.willungawaldorfschool.sa.edu.au','1 Jay Drive','Willunga, South Australia 5172',5172,'Willunga','SA','Australia','AU','-35.27016','138.54377'
'Yallingup Steiner School','www.yss.wa.edu.au','PO Box 135','Yallingup, Western Australia 6282',6282,'Yallingup','WA','Australia','AU','-33.6796836853027','115.052665710449'
'Udruzenje za Djeciju Kulturu "Zar Ptica"',,'Husubska 31','Sarajevo,  71000',71000,'Sarajevo','Federation of Bosnia and Herzegovina','Bosnia and Herzegovina','BA','43.8650856018066','18.389612197876'
'‘l Ecole Steiner de la Providence','www.ecoledelaprovidence.be','Rue de Roubaix 64','Templeuve,  7520',7520,'Tournai','Walloon Region','Belgium','BE','50.6441558','3.2759046'
